size,quick bst,merge bst,quick avg,merge avg,quick worst,merge worst
69900,16168000,0,15718000,0,15177000,0
70000,0,5595000,10078000,15911000,15716000,0
70100,0,0,15713000,0,0,15630000
70200,0,0,15707000,0,10106000,16412000
70300,5585000,10078000,15916000,0,15712000,0
70400,0,15717000,0,5592000,15964000,0
70500,10088000,0,15891000,0,0,5593000
70600,0,10082000,15906000,0,0,5613000
70700,15712000,0,5091000,10090000,16112000,0
70800,0,15913000,0,15707000,5596000,10087000
70900,15707000,0,5587000,10084000,16760000,0
71000,0,15627000,0,15712000,15899000,0
71100,0,0,16998000,0,0,4597000
71200,15714000,0,5593000,10079000,15619000,0
71300,0,15843000,0,15718000,5583000,10079000
71400,0,0,15660000,0,0,15708000
71500,15709000,0,5598000,10079000,15880000,0
71600,0,15929000,0,15727000,5588000,10082000
71700,0,0,15682000,0,0,15713000
71800,0,0,15712000,0,10094000,15937000
71900,16297000,0,15636000,0,15170000,0
72000,0,5592000,10081000,15868000,15713000,0
72100,0,0,15708000,0,10093000,16069000
72200,5090000,10091000,16170000,0,15714000,0
72300,0,5584000,10092000,15907000,15711000,0
72400,0,0,15713000,0,10078000,15970000
72500,5591000,10082000,15881000,0,15719000,0
72600,0,15716000,0,5588000,15862000,0
72700,0,0,15631000,0,10094000,16386000
72800,5588000,10077000,15866000,0,15708000,0
72900,0,0,15712000,5594000,10083000,15805000
73000,0,5592000,10079000,16009000,15634000,0
73100,0,0,15628000,0,0,15702000
73200,15945000,0,15723000,0,15673000,0
73300,0,5582000,10091000,16088000,15712000,0
73400,0,0,15638000,0,10003000,15817000
73500,0,5587000,10004000,15821000,15717000,0
73600,0,0,5588000,10093000,0,15710000
73700,0,15812000,0,15715000,5503000,10003000
73800,0,0,5508000,10088000,0,15706000
73900,0,15618000,0,15721000,15982000,0
74000,10086000,0,15935000,0,0,5591000
74100,0,15712000,0,5581000,15916000,0
74200,10077000,0,15693000,0,0,5591000
74300,0,15726000,0,5085000,15605000,0
74400,15837000,0,15721000,0,15685000,0
74500,0,5583000,10090000,15726000,15707000,0
74600,16124000,0,15713000,0,15682000,0
74700,0,5582000,10088000,16077000,15711000,0
74800,0,0,5587000,10093000,15890000,0
